origen,producto,category
Chiapas,Jaiba en pulpa,crustaceos
Nayarit,Camarón c/cabeza mediana,crustaceos
Nayarit,Camarón mediano c/cabeza,crustaceos
Baja California Sur,Jaiba en pulpa,crustaceos
Aguascalientes,Pulpo fresco,moluscos
Tamaulipas,Almeja chocolata,moluscos
Sinaloa,Ancas de rana,moluscos
Tamaulipas,Caracol burro,moluscos
Oaxaca,Ostión sin concha,moluscos
Campeche,Calamar americano,moluscos
Chiapas,Calamar americano,moluscos
Chiapas,Ostión con concha,moluscos
Baja California Sur,Almeja chirla,moluscos
No especificado,Filete de carpa,filetes
Michoacán,Mojarra rayada,filetes
Sinaloa,Robalo,filetes
Michoacán,Ancas de rana,filetes
Importación,Filete de mero,filetes
Sinaloa,Lenguado,filetes
Tamaulipas,Mantarraya,filetes
México,Bagre,filetes
Sonora,Calamar,filetes
Sonora,Cazón tripa,filetes
Tamaulipas,Lisa,filetes
Sonora,Robaleta,filetes
Tamaulipas,Trucha,filetes
Sonora,Lenguado,filetes
Sonora,Angelito,filetes
Sinaloa,Calamar,filetes
Importación,Lenguado,filetes
Tamaulipas,Plateado,filetes
Chiapas,Chucumite,filetes
Chiapas,Curbina,filetes
Sinaloa,Filete de cazón o tiburón,filetes
Sinaloa,Filete de carpa,filetes
Nayarit,Filete de tilapia,filetes
Michoacán,Filete de carpa,filetes
Sinaloa,Torito,pescado
Sonora,Guitarra,pescado
México,Aleta de raya,pescado
Chiapas,Camarón grande c/cabeza,crustaceos
Chiapas,Camarón Pacotilla,crustaceos
Tamaulipas,Camarón s/cabeza coctelero de mar,crustaceos
Sinaloa,Camarón Macuil,crustaceos
Sinaloa,Camarón Pacotilla,crustaceos
Sinaloa,Camaron p/bar y bot,crustaceos
Campeche,Camarón mediano c/cabeza,crustaceos
Tabasco,Ostión sin concha,moluscos
Sonora,Callo de almeja,moluscos
Baja California Sur,Callo de hacha,moluscos
Sinaloa,Callo de hacha,moluscos
Sinaloa,Ostión sin concha,moluscos
Campeche,Ostión sin concha,moluscos
Chiapas,Pulpo fresco,moluscos
Campeche,Pulpo congelado,moluscos
Nayarit,Almeja pata de mula,moluscos
Michoacán,Mojarra blanca,filetes
Tamaulipas,Calamar,filetes
Tamaulipas,Cazón tripa,filetes
Tamaulipas,Lenguado,filetes
Tamaulipas,Mojarra blanca,filetes
Tamaulipas,Robaleta,filetes
Veracruz,Trucha,filetes
Sonora,Ancas de rana,filetes
Tamaulipas,Filete de mero,filetes
Veracruz,Robaleta,filetes
Tamaulipas,Mojarra rayada,filetes
Sinaloa,Bagre,filetes
Sinaloa,Robaleta,filetes
México,Filete de carpa,filetes
Michoacán,Abadejo,filetes
Yucatán,Cola de langosta,crustaceos
Veracruz,Camarón c/cabeza mediana,crustaceos
Veracruz,Caracol,moluscos
Veracruz,Caracol burro,moluscos
Veracruz,Pulpo congelado,moluscos
Veracruz,Abulón,moluscos
Veracruz,Almeja chocolata,moluscos
Tamaulipas,Pulpo congelado,moluscos
Veracruz,Filete de cazón o tiburón,filetes
Veracruz,Filete de tilapia,filetes
Veracruz,Lenguado,filetes
Veracruz,Cazón tripa,filetes
Veracruz,Mojarra rayada,filetes
Baja California Sur,Mantarraya,filetes
Campeche,Aleta de raya,pescado
Tabasco,Besugo,pescado
Campeche,Cojinuda,pescado
Campeche,Peto o Carito,pescado
Tabasco,Cintilla,pescado
Veracruz,Pargo Huachinango,pescado
Tabasco,Peto o Carito,pescado
Campeche,Cazón tripa,pescado
Tabasco,Cazón tripa,pescado
Campeche,Tiburón Majarro sin cabeza,pescado
Importación,Cazón sin cabeza,pescado
Tamaulipas,Tiburón Majarro sin cabeza,pescado
Tabasco,Pampano,pescado
Chiapas,Tiburón Majarro sin cabeza,pescado
Tamaulipas,Tiburón sin cabeza,pescado
Yucatán,Huachinango Pacífico,pescado
Sinaloa,Guitarra,pescado
Sinaloa,Ratón,pescado
Sinaloa,Lucero,pescado
Sonora,Huachinango grande,pescado
Michoacán,Atún,pescado
Sonora,Aleta de raya,pescado
Sonora,Lenguado chico,pescado
Baja California Sur,Langostino,crustaceos
Baja California,Ostión sin concha,moluscos
Tabasco,Filete de cazón o tiburón,filetes
Importación,Bagre,filetes
Baja California Sur,Robalo del pacífico,pescado
Yucatán,Medregal,pescado
Nayarit,Baqueta,pescado
Tamaulipas,Atún,pescado
Tamaulipas,Besugo,pescado
Tamaulipas,Conejo,pescado
Tamaulipas,Mojarra blanca,pescado
Tamaulipas,Rubia o Biajaiba,pescado
Tamaulipas,Sardina,pescado
Veracruz,Cabrillo,pescado
Veracruz,Mojarra plateada,pescado
Veracruz,Camarón Macuil,crustaceos
